X,Y,Name,description
30.344836,-2.0680649,Bicaca 27 & 32 EE - G5,
30.344864,-2.0683208,Bicaca 29 EE - G5,
30.345238,-2.0683028,Bicaca 30 EE - G2,
30.345242,-2.0681878,Bicaca 31 EE - G2,
30.343402,-2.0665712,Bicaca 82,
30.343637,-2.0663259,Bicaca 56,
30.345023,-2.0657734,Bicaca 49,
30.345373,-2.0665065,Bicaca 88,
30.345784,-2.0661038,Bicaca 60,
30.345686,-2.0662944,Bicaca 84,
30.345919,-2.0666754,Bicaca 81,
30.3453,-2.0671264,Bicaca 57,
30.345482,-2.0672557,Bicaca 67,
30.346302,-2.0675954,Bicaca 76,
30.345532,-2.0680541,Bicaca 83,
30.345605,-2.0681681,Bicaca 61,
30.346163,-2.0693713,Bicaca 70,
30.34463,-2.067769,Bicaca 41,
30.343274,-2.0660857,Bicaca 68,
30.343221,-2.0660274,Bicaca 53,
30.343153,-2.0659828,Bicaca 52,
30.343184,-2.0687692,Bicaca 47,
30.343516,-2.0691819,Bicaca 45,
30.343016,-2.0702803,Bicaca 65,
30.354472,-2.0674701,Kajevuba 79,
30.354496,-2.0675097,Kajevuba 78,
30.354744,-2.0676698,Kajevuba 72,
30.354593,-2.0681011,Kajevuba 77,
30.3544,-2.0678263,Kajevuba 71,
30.354262,-2.0677492,Kajevuba 76,
30.353985,-2.068164,Kajevuba 75,
30.354177,-2.0681225,Kajevuba 80,
30.353717,-2.0677144,Kajevuba 82,
30.354406,-2.0682347,Kajevuba 74,
30.355517,-2.0680803,Kajevuba 55,
30.355428,-2.0678015,Kajevuba 64,
30.355925,-2.0680652,Kajevuba 60,
30.356346,-2.0685222,Kajevuba 61,
30.356059,-2.0690339,Kajevuba 58,
30.356135,-2.0692118,Kajevuba 59,
30.355354,-2.0694031,Kajevuba 69,
30.355644,-2.0690493,Kajevuba 68,
30.355928,-2.068801,Kajevuba 66,
30.356094,-2.0676407,Kajevuba 70,
30.35514,-2.0678357,Kajevuba 65,
30.356521,-2.0699167,Kajevuba 25,
30.357007,-2.0696986,Kajevuba 57,
30.357719,-2.0689223,Kajevuba 28,
30.357966,-2.0688539,Kajevuba 29,
30.359214,-2.0696433,Kajevuba 67,
30.359403,-2.0696008,Kajevuba 16,
30.359587,-2.0700357,Kajevuba 49,
30.360259,-2.0697435,Kajevuba 13,
30.360087,-2.0694604,Kajevuba 11,
30.360071,-2.0692211,Kajevuba 12,
30.356236,-2.0681999,Kajevuba 54,
30.356162,-2.0687816,Kajevuba 63,
30.355024,-2.069968,Kajevuba 62,
30.354275,-2.0692681,Kajevuba 73,"There’s light, but it’s not working"
30.346801,-2.0841211,Cyarugaju 7,
30.348881,-2.0810614,Cyarugaju 22,
30.350897,-2.0809428,Cyarugaju 4,
